timestamp_sec,person_idx,person_lat,person_lon,drone_lat,drone_lon,drone_altitude_agl,roll_deg,pitch_deg,yaw_deg,confidence,num_detections_in_frame,altitude
1771590159.992250919,1,28.753783127,77.115402440,28.753786100,77.115400500,6.197,0.8485,-2.6618,22.7383,0.5839,1
1771590189.460758209,1,28.753817379,77.115523719,28.753786300,77.115519200,6.296,-1.6552,0.0395,5.5585,0.7185,1
1771590189.527505159,1,28.753817007,77.115524039,28.753786300,77.115519200,6.296,-1.6552,0.0395,5.5585,0.6391,1
1771590189.560878754,1,28.753816718,77.115524415,28.753786300,77.115519200,6.296,-1.6552,0.0395,5.5585,0.5613,1
1771590189.660999298,1,28.753815373,77.115527893,28.753786600,77.115522300,6.307,-1.3919,-0.6568,6.2830,0.7914,1
1771590189.694372654,1,28.753815116,77.115527756,28.753786600,77.115522300,6.307,-1.3919,-0.6568,6.2830,0.7995,1
1771590189.727746010,1,28.753814979,77.115528066,28.753786600,77.115522300,6.307,-1.3919,-0.6568,6.2830,0.6157,1
1771590189.761119604,1,28.753814734,77.115528164,28.753786600,77.115522300,6.307,-1.3919,-0.6568,6.2830,0.5333,1
1771590189.794493198,1,28.753814454,77.115528760,28.753786600,77.115522300,6.307,-1.3919,-0.6568,6.2830,0.6646,1
1771590189.827866793,1,28.753813165,77.115531928,28.753787100,77.115525400,6.305,-1.0580,-1.7458,7.1507,0.6744,1
1771590189.861240149,1,28.753813242,77.115531604,28.753787100,77.115525400,6.305,-1.0580,-1.7458,7.1507,0.6975,1
1771590189.894613504,1,28.753812328,77.115531892,28.753787100,77.115525400,6.305,-1.0580,-1.7458,7.1507,0.7833,1
1771590189.927987099,1,28.753811905,77.115531958,28.753787100,77.115525400,6.305,-1.0580,-1.7458,7.1507,0.6702,1
1771590189.961360693,1,28.753811416,77.115531816,28.753787100,77.115525400,6.305,-1.0580,-1.7458,7.1507,0.5994,1
1771590189.994734049,1,28.753810727,77.115531616,28.753787100,77.115525400,6.305,-1.0580,-1.7458,7.1507,0.5251,1
1771590190.028107643,1,28.753810185,77.115531468,28.753787100,77.115525400,6.305,-1.0580,-1.7458,7.1507,0.8281,1
1771590190.061480999,1,28.753809017,77.115535634,28.753787400,77.115528800,6.293,-1.3542,-2.6164,8.3918,0.8054,1
1771590190.094854593,1,28.753808300,77.115535327,28.753787400,77.115528800,6.293,-1.3542,-2.6164,8.3918,0.7351,1
1771590190.128228903,1,28.753808237,77.115535258,28.753787400,77.115528800,6.293,-1.3542,-2.6164,8.3918,0.7880,1
1771590190.161602497,1,28.753807774,77.115535209,28.753787400,77.115528800,6.293,-1.3542,-2.6164,8.3918,0.7037,1
1771590190.194975853,1,28.753807711,77.115534959,28.753787400,77.115528800,6.293,-1.3542,-2.6164,8.3918,0.6273,1
1771590190.228349447,1,28.753807684,77.115534906,28.753787400,77.115528800,6.293,-1.3542,-2.6164,8.3918,0.7537,1
1771590190.261722803,1,28.753807741,77.115534940,28.753787400,77.115528800,6.293,-1.3542,-2.6164,8.3918,0.7522,1
1771590190.295096159,1,28.753807872,77.115534920,28.753787400,77.115528800,6.293,-1.3542,-2.6164,8.3918,0.7809,1
1771590190.328469753,1,28.753809414,77.115539457,28.753787700,77.115532000,6.283,-2.1507,-1.2386,9.2302,0.7063,1
1771590190.361843348,1,28.753809210,77.115539434,28.753787700,77.115532000,6.283,-2.1507,-1.2386,9.2302,0.7448,1
1771590190.395216703,1,28.753809155,77.115539595,28.753787700,77.115532000,6.283,-2.1507,-1.2386,9.2302,0.6750,1
1771590190.428590059,1,28.753808708,77.115539213,28.753787700,77.115532000,6.283,-2.1507,-1.2386,9.2302,0.6802,1
1771590190.461963654,1,28.753808291,77.115538913,28.753787700,77.115532000,6.283,-2.1507,-1.2386,9.2302,0.6305,1
1771590190.495337248,1,28.753807498,77.115538766,28.753787700,77.115532000,6.283,-2.1507,-1.2386,9.2302,0.5911,1
1771590194.466776848,1,28.753781806,77.115566559,28.753793000,77.115570400,6.316,-1.1044,-1.4387,13.8956,0.5395,1
1771590194.500151634,1,28.753781923,77.115566437,28.753793000,77.115570400,6.316,-1.1044,-1.4387,13.8956,0.5848,1
1771590194.566900969,1,28.753780430,77.115566993,28.753792800,77.115571100,6.330,-1.3719,-2.2412,14.0862,0.6200,1
1771590194.600275517,1,28.753780112,77.115566933,28.753792800,77.115571100,6.330,-1.3719,-2.2412,14.0862,0.5093,1
1771590194.633650303,1,28.753779834,77.115566753,28.753792800,77.115571100,6.330,-1.3719,-2.2412,14.0862,0.5756,1
1771590194.667024851,1,28.753779728,77.115566239,28.753792800,77.115571100,6.330,-1.3719,-2.2412,14.0862,0.6242,1
1771590194.700399637,1,28.753779614,77.115566150,28.753792800,77.115571100,6.330,-1.3719,-2.2412,14.0862,0.5297,1
1771590194.767149210,1,28.753779062,77.115565753,28.753792800,77.115571100,6.330,-1.3719,-2.2412,14.0862,0.5467,1
1771590194.800523996,1,28.753778657,77.115565580,28.753792800,77.115571100,6.330,-1.3719,-2.2412,14.0862,0.5914,1
1771590194.934022903,1,28.753775431,77.115565054,28.753792700,77.115571500,6.341,-2.0054,-3.2067,14.1734,0.5108,1
1771590195.968604565,1,28.753773388,77.115562466,28.753793200,77.115571000,6.364,-2.9800,-5.4215,14.5156,0.6144,1
1771590224.569666386,1,28.753746970,77.115601775,28.753718500,77.115614700,6.327,0.1467,-0.1281,-31.7860,0.5472,1
1771590224.603039980,1,28.753746645,77.115602433,28.753718500,77.115614700,6.327,0.1467,-0.1281,-31.7860,0.6993,1
